+-------+-----+------+-----+-----+-----+--------+------------------------------------------------------+-------+--------+---------+-------+-------+-------+--------+--------+------------+------------+-------------+------------+
| COUNT | 1XX | 2XX  | 3XX | 4XX | 5XX | METHOD |                         URI                          |  MIN  |  MAX   |   SUM   |  AVG  |  P90  |  P95  |  P99   | STDDEV | MIN(BODY)  | MAX(BODY)  |  SUM(BODY)  | AVG(BODY)  |
| 1     | 0   | 1    | 0   | 0   | 0   | GET    | /assets/map-WlZ9yiya.js                              | 0.000 | 0.000  | 0.000   | 0.000 | 0.000 | 0.000 | 0.000  | 0.000  | 11712.000  | 11712.000  | 11712.000   | 11712.000  |
| 1     | 0   | 1    | 0   | 0   | 0   | GET    | /assets/route-D1lZqFMV.js                            | 0.000 | 0.000  | 0.000   | 0.000 | 0.000 | 0.000 | 0.000  | 0.000  | 10427.000  | 10427.000  | 10427.000   | 10427.000  |
| 1     | 0   | 1    | 0   | 0   | 0   | GET    | /assets/chair-PB3Jm0Ii.js                            | 0.000 | 0.000  | 0.000   | 0.000 | 0.000 | 0.000 | 0.000  | 0.000  | 2008.000   | 2008.000   | 2008.000    | 2008.000   |
| 1     | 0   | 1    | 0   | 0   | 0   | GET    | /assets/route-BE5HJ0d6.js                            | 0.000 | 0.000  | 0.000   | 0.000 | 0.000 | 0.000 | 0.000  | 0.000  | 3303.000   | 3303.000   | 3303.000    | 3303.000   |
| 87    | 0   | 6    | 81  | 0   | 0   | GET    | /owner                                               | 0.000 | 0.000  | 0.000   | 0.000 | 0.000 | 0.000 | 0.000  | 0.000  | 0.000      | 704.000    | 4224.000    | 48.552     |
| 15    | 0   | 15   | 0   | 0   | 0   | GET    | /assets/route-j6B5sfAw.js                            | 0.000 | 0.000  | 0.000   | 0.000 | 0.000 | 0.000 | 0.000  | 0.000  | 3490.000   | 3490.000   | 52350.000   | 3490.000   |
| 1     | 0   | 1    | 0   | 0   | 0   | GET    | /assets/route-C7CZBETH.js                            | 0.000 | 0.000  | 0.000   | 0.000 | 0.000 | 0.000 | 0.000  | 0.000  | 2244.000   | 2244.000   | 2244.000    | 2244.000   |
| 133   | 0   | 20   | 113 | 0   | 0   | GET    | /assets/entry.client-BwsCJ-uh.js                     | 0.000 | 0.000  | 0.000   | 0.000 | 0.000 | 0.000 | 0.000  | 0.000  | 0.000      | 4135.000   | 82700.000   | 621.805    |
| 47    | 0   | 15   | 32  | 0   | 0   | GET    | /images/buildings6.svg                               | 0.000 | 0.000  | 0.000   | 0.000 | 0.000 | 0.000 | 0.000  | 0.000  | 0.000      | 9454.000   | 141810.000  | 3017.234   |
| 1     | 0   | 1    | 0   | 0   | 0   | GET    | /assets/simulator-context-fn0s3fwv.js                | 0.000 | 0.000  | 0.000   | 0.000 | 0.000 | 0.000 | 0.000  | 0.000  | 2970.000   | 2970.000   | 2970.000    | 2970.000   |
| 133   | 0   | 20   | 113 | 0   | 0   | GET    | /assets/root-BoSp76zW.css                            | 0.000 | 0.000  | 0.000   | 0.000 | 0.000 | 0.000 | 0.000  | 0.000  | 0.000      | 26579.000  | 531580.000  | 3996.842   |
| 133   | 0   | 20   | 113 | 0   | 0   | GET    | /assets/jsx-runtime-56DGgGmo.js                      | 0.000 | 0.000  | 0.000   | 0.000 | 0.000 | 0.000 | 0.000  | 0.000  | 0.000      | 8107.000   | 162140.000  | 1219.098   |
| 133   | 0   | 20   | 113 | 0   | 0   | GET    | /assets/index-9ZhTBp7q.js                            | 0.000 | 0.000  | 0.000   | 0.000 | 0.000 | 0.000 | 0.000  | 0.000  | 0.000      | 60305.000  | 1206100.000 | 9068.421   |
